title,alive,latitude,longitude,location,description,url
C602,TRUE,44.681663,-93.293237,I-35: NB @ Co Rd 60,near Lakeville,https://video.dot.state.mn.us/video/image/metro/C602
C603,TRUE,44.69779,-93.288089,I-35: NB @ Co Rd 50,near Lakeville,https://video.dot.state.mn.us/video/image/metro/C603
C604,TRUE,44.714457,-93.283389,I-35: NB @ Co Rd 46,near Lakeville,https://video.dot.state.mn.us/video/image/metro/C604
C605,TRUE,44.73057,-93.282948,I-35: SB @ Crystal Lake Road,near Burnsville,https://video.dot.state.mn.us/video/image/metro/C605
C606,TRUE,44.745697,-93.282924,I-35W: NB @ Co Rd 42,in Burnsville,https://video.dot.state.mn.us/video/image/metro/C606
C607,TRUE,44.759903,-93.288926,I-35W: SB @ Burnsville Pkwy,in Burnsville,https://video.dot.state.mn.us/video/image/metro/C607
C608,TRUE,44.774848,-93.288263,I-35W: SB @ MN 13,in Burnsville,https://video.dot.state.mn.us/video/image/metro/C608
C609,TRUE,44.784303,-93.288477,I-35W: NB @ Cliff Road,in Burnsville,https://video.dot.state.mn.us/video/image/metro/C609
C610,TRUE,44.806888,-93.291114,I-35W: SB @ 110th Street,near Bloomington,https://video.dot.state.mn.us/video/image/metro/C610
C611,TRUE,44.826,-93.291427,I-35W: NB @ 98th Street,in Bloomington,https://video.dot.state.mn.us/video/image/metro/C611
C612,TRUE,44.833345,-93.294793,I-35W: SB @ 94th Street,in Bloomington,https://video.dot.state.mn.us/video/image/metro/C612
C6131,TRUE,44.855321,-93.298008,I-35W: SB @ 82nd Street,in Richfield,https://video.dot.state.mn.us/video/image/metro/C6131
C614,TRUE,44.865608,-93.298723,I-35W: SB @ 76th Street,in Richfield,https://video.dot.state.mn.us/video/image/metro/C614
C615,TRUE,44.882587,-93.295837,I-35W: NB @ 66th Street,in Richfield,https://video.dot.state.mn.us/video/image/metro/C615
C112,TRUE,44.890084,-93.290259,I-35W: NB @ Lyndale Avenue,in Richfield,https://video.dot.state.mn.us/video/image/metro/C112
C616,TRUE,44.89284,-93.274913,I-35W: NB E Jct MN 62,in Richfield,https://video.dot.state.mn.us/video/image/metro/C616
C619,TRUE,44.918989,-93.274543,I-35W: N-S @ 46th Street,near Minneapolis,https://video.dot.state.mn.us/video/image/metro/C619
C621,TRUE,44.927018,-93.274556,I-35W: SB @ 42nd Street,near Minneapolis,https://video.dot.state.mn.us/video/image/metro/C621
C622,TRUE,44.939711,-93.274557,I-35W: SB @ 35th Street,in Minneapolis,https://video.dot.state.mn.us/video/image/metro/C622
C623,TRUE,44.949254,-93.274616,I-35W: SB @ Lake Street,in Minneapolis,https://video.dot.state.mn.us/video/image/metro/C623
C624,TRUE,44.955568,-93.270158,I-35W: NB @ 26th Street,in Minneapolis,https://video.dot.state.mn.us/video/image/metro/C624
C625,TRUE,44.96621,-93.255116,I-35W: SB @ Chicago Avenue,in Minneapolis,https://video.dot.state.mn.us/video/image/metro/C625
C626,TRUE,44.966678,-93.254411,I-35W: NB @ Hiawatha Avenue,in Minneapolis,https://video.dot.state.mn.us/video/image/metro/C626
C627,TRUE,44.971721,-93.251375,I-35W: SB @ 3rd Street,in Minneapolis,https://video.dot.state.mn.us/video/image/metro/C627
C628,TRUE,44.975839,-93.246687,I-35W: NB @ Washington Avenue,in Minneapolis,https://video.dot.state.mn.us/video/image/metro/C628
C629,TRUE,44.983985,-93.241997,I-35W: SB @ 4th Street,near Lauderdale,https://video.dot.state.mn.us/video/image/metro/C629
C630,TRUE,44.9912,-93.236328,I-35W: NB @ Hennepin Avenue,in Lauderdale,https://video.dot.state.mn.us/video/image/metro/C630
C6301,TRUE,44.996199,-93.238441,I-35W: SB @ Broadway Street,in Lauderdale,https://video.dot.state.mn.us/video/image/metro/C6301
C631,TRUE,45.002591,-93.215463,I-35W: SB @ Johnson Street,in Lauderdale,https://video.dot.state.mn.us/video/image/metro/C631
C632,TRUE,45.001222,-93.21894,I-35W: SB @ Stinson Blvd,in Lauderdale,https://video.dot.state.mn.us/video/image/metro/C632
C633,TRUE,45.003123,-93.214229,I-35W: SB @ Industrial Blvd,in Lauderdale,https://video.dot.state.mn.us/video/image/metro/C633
C634,TRUE,45.01062,-93.189339,I-35W: SB @ MN 280,in Lauderdale,https://video.dot.state.mn.us/video/image/metro/C634
C635,TRUE,45.021083,-93.189285,I-35W: SB @ Co Rd C,in Saint Anthony,https://video.dot.state.mn.us/video/image/metro/C635
C636,TRUE,45.040166,-93.189496,I-35W: NB @ MN 88,in Saint Anthony,https://video.dot.state.mn.us/video/image/metro/C636
C637,TRUE,45.057455,-93.18733,I-35W: NB @ Co Rd E2,in New Brighton,https://video.dot.state.mn.us/video/image/metro/C637
C638,TRUE,45.079242,-93.185489,I-35W: NB @ MN 96,in Arden Hills,https://video.dot.state.mn.us/video/image/metro/C638
C639,TRUE,45.092019,-93.188034,I-35W: NB @ Co Rd 10,in Mounds View,https://video.dot.state.mn.us/video/image/metro/C639
C640,TRUE,45.108222,-93.188211,I-35W: SB @ Co Rd I,in Mounds View,https://video.dot.state.mn.us/video/image/metro/C640
C641,TRUE,45.115603,-93.188311,I-35W: SB @ MN 10,in Mounds View,https://video.dot.state.mn.us/video/image/metro/C641
C642,TRUE,45.127665,-93.188407,I-35W: SB @ Lake Drive,in Lexington,https://video.dot.state.mn.us/video/image/metro/C642
C643,TRUE,45.142613,-93.185296,I-35W: SB @ 95th Avenue,in Lexington,https://video.dot.state.mn.us/video/image/metro/C643
C644,TRUE,45.159571,-93.162815,I-35W: SB at Lexington Ave,in Circle Pines,https://video.dot.state.mn.us/video/image/metro/C644
C645,TRUE,45.167907,-93.143305,I-35W: NB @ Sunset Road,in Circle Pines,https://video.dot.state.mn.us/video/image/metro/C645
C646,TRUE,45.172538,-93.124855,I-35W: NB S of Co Rd 23,near Lino Lakes,https://video.dot.state.mn.us/video/image/metro/C646
C647,TRUE,45.18076,-93.11066,I-35W: SB @ Co Rd 23,in Lino Lakes,https://video.dot.state.mn.us/video/image/metro/C647
C648,TRUE,45.192584,-93.072845,I-35W: NB @ Co Rd 14,in Lino Lakes,https://video.dot.state.mn.us/video/image/metro/C648
C649,TRUE,45.199481,-93.052959,I-35W: NB N of Co Rd 14,near Lino Lakes,https://video.dot.state.mn.us/video/image/metro/C649
C650,TRUE,45.21444,-93.034558,I-35W: NB S of I-35E,near Lino Lakes,https://video.dot.state.mn.us/video/image/metro/C650
C010,TRUE,44.744,-93.276168,I-35E: SB @ Co Rd 42,in Burnsville,https://video.dot.state.mn.us/video/image/metro/C010
C011,TRUE,44.753577,-93.261042,I-35E: NB @ McAndrews Road,in Burnsville,https://video.dot.state.mn.us/video/image/metro/C011
C012,TRUE,44.759279,-93.247756,I-35E: SB @ Co Rd 11,in Burnsville,https://video.dot.state.mn.us/video/image/metro/C012
C013,TRUE,44.766687,-93.235615,I-35E: SB S of MN 77,near Burnsville,https://video.dot.state.mn.us/video/image/metro/C013
C014,TRUE,44.777166,-93.218915,I-35E: NB @ MN 77,near Apple Valley,https://video.dot.state.mn.us/video/image/metro/C014
C015,TRUE,44.789887,-93.201594,I-35E: SB @ Cliff Road,near Eagan,https://video.dot.state.mn.us/video/image/metro/C015
C016,TRUE,44.804671,-93.190188,I-35E: SB @ Diffley Road,in Eagan,https://video.dot.state.mn.us/video/image/metro/C016
C017,TRUE,44.811524,-93.182541,I-35E: SB @ Deerwood Drive,in Eagan,https://video.dot.state.mn.us/video/image/metro/C017
C018,TRUE,44.822796,-93.172574,I-35E: NB @ Pilot Knob Road,in Eagan,https://video.dot.state.mn.us/video/image/metro/C018
C019,TRUE,44.833879,-93.163334,I-35E: SB @ Yankee Doodle Road,in Eagan,https://video.dot.state.mn.us/video/image/metro/C019
C022,TRUE,44.874804,-93.143097,I-35E: SB @ Wagon Wheel Trail,in Mendota Heights,https://video.dot.state.mn.us/video/image/metro/C022
C023,TRUE,44.88356,-93.13861,I-35E: SB @ MN 110,in Mendota Heights,https://video.dot.state.mn.us/video/image/metro/C023
C024,TRUE,44.888744,-93.131906,I-35E: SB N of MN 110,in Mendota Heights,https://video.dot.state.mn.us/video/image/metro/C024
C025,TRUE,44.893157,-93.13093,I-35E: SB S of MN 13,in Mendota Heights,https://video.dot.state.mn.us/video/image/metro/C025
C026,TRUE,44.900848,-93.135548,I-35E: SB @ MN 13,in Lilydale,https://video.dot.state.mn.us/video/image/metro/C026
C027,TRUE,44.910965,-93.143844,I-35E: SB @ Shepard Road,in Lilydale,https://video.dot.state.mn.us/video/image/metro/C027
C028,TRUE,44.915015,-93.144323,I-35E: SB @ W. 7th Street,in Lilydale,https://video.dot.state.mn.us/video/image/metro/C028
C029,TRUE,44.926627,-93.144829,I-35E: SB @ Randolph Avenue,in Lilydale,https://video.dot.state.mn.us/video/image/metro/C029
C030,TRUE,44.9296,-93.142914,I-35E: SB @ Jefferson Avenue,in Lilydale,https://video.dot.state.mn.us/video/image/metro/C030
C031,TRUE,44.93168,-93.131097,I-35E: SB @ Victoria Street,in Lilydale,https://video.dot.state.mn.us/video/image/metro/C031
C032,TRUE,44.934662,-93.125873,I-35E: SB @ St. Clair Avenue,in Saint Paul,https://video.dot.state.mn.us/video/image/metro/C032
C033,TRUE,44.939532,-93.116432,I-35E: SB @ Grand Avenue,in Saint Paul,https://video.dot.state.mn.us/video/image/metro/C033
C034,TRUE,44.946926,-93.104096,I-35E: SB @ Kellogg Blvd,in Saint Paul,https://video.dot.state.mn.us/video/image/metro/C034
C035,TRUE,44.95594,-93.090824,I-35E: NB @ University Avenue,in Saint Paul,https://video.dot.state.mn.us/video/image/metro/C035
C036,TRUE,44.966203,-93.090931,I-35E: SB @ Cayuga Street,in Saint Paul,https://video.dot.state.mn.us/video/image/metro/C036
C037,TRUE,44.977367,-93.088575,I-35E: NB @ Maryland Avenue,near Saint Paul,https://video.dot.state.mn.us/video/image/metro/C037
C038,TRUE,44.99195,-93.089181,I-35E: NB @ Larpenteur Avenue,near Little Canada,https://video.dot.state.mn.us/video/image/metro/C038
C039,TRUE,45.005002,-93.089452,I-35E: SB @ Roselawn Avenue,in Little Canada,https://video.dot.state.mn.us/video/image/metro/C039
C040,TRUE,45.023276,-93.089536,I-35E: NB @ Little Canada Road,in Little Canada,https://video.dot.state.mn.us/video/image/metro/C040
C041,TRUE,45.050103,-93.058883,I-35E: SB @ Co Rd E,in Vadnais Heights,https://video.dot.state.mn.us/video/image/metro/C041
C042,TRUE,45.070162,-93.053723,I-35E: SB S of Co Rd 96,in Gem Lake,https://video.dot.state.mn.us/video/image/metro/C042
C043,TRUE,45.079128,-93.052697,I-35E: NB @ Co Rd 96,in Gem Lake,https://video.dot.state.mn.us/video/image/metro/C043
C044,TRUE,45.09381,-93.051985,I-35E: SB N of Co Rd 96,in White Bear Lake,https://video.dot.state.mn.us/video/image/metro/C044
C045,TRUE,45.110834,-93.049314,I-35E: NB N of Co Rd H2,near North Oaks,https://video.dot.state.mn.us/video/image/metro/C045
C046,TRUE,45.124075,-93.049554,I-35E: SB @ Co Rd J,near North Oaks,https://video.dot.state.mn.us/video/image/metro/C046
C047,TRUE,45.131864,-93.043408,I-35E: N of Co Rd J,near North Oaks,https://video.dot.state.mn.us/video/image/metro/C047
C048,TRUE,45.137564,-93.038719,I-35E: NB @ 64th Street,near Lino Lakes,https://video.dot.state.mn.us/video/image/metro/C048
C049,TRUE,45.145704,-93.032227,I-35E: NB @ Tart Lake Road,near Lino Lakes,https://video.dot.state.mn.us/video/image/metro/C049
C050,TRUE,45.164031,-93.031109,I-35E: SB @ Main Street,near Lino Lakes,https://video.dot.state.mn.us/video/image/metro/C050
C051,TRUE,45.17379,-93.029657,I-35E: NB N of Main Street,near Lino Lakes,https://video.dot.state.mn.us/video/image/metro/C051
C053,TRUE,45.196114,-93.029633,I-35E: NB @ 80th Street,near Lino Lakes,https://video.dot.state.mn.us/video/image/metro/C053
C054,TRUE,45.210895,-93.029005,I-35E: NB S of I-35W,near Lino Lakes,https://video.dot.state.mn.us/video/image/metro/C054
C1628,TRUE,44.9737,-93.249497,I-35W: NB @ Washington Avenue,in Minneapolis,https://video.dot.state.mn.us/video/image/metro/C1628
C1629,TRUE,44.981958,-93.243571,I-35W: NB @ University Avenue,near Minneapolis,https://video.dot.state.mn.us/video/image/metro/C1629
C766,TRUE,45.476273,-94.138899,I-94: WB E of Co Rd 75,near Saint Augusta,https://video.dot.state.mn.us/video/image/metro/C766
C772,TRUE,45.412076,-94.057932,I-94: WB @ MN 24,in Clearwater,https://video.dot.state.mn.us/video/image/metro/C772
C774,TRUE,45.393779,-94.023435,I-94: EB E of MN 24,near Clearwater,https://video.dot.state.mn.us/video/image/metro/C774
C777,TRUE,45.367559,-93.97375,I-94: EB @ Co Rd 8,1 mile east of the Clearwater area,https://video.dot.state.mn.us/video/image/metro/C777
C786,TRUE,45.298581,-93.800438,I-94: EB @ MN 25,in Monticello,https://video.dot.state.mn.us/video/image/metro/C786
C788,TRUE,45.289022,-93.758236,I-94: EB @ Co Rd 18,near Monticello,https://video.dot.state.mn.us/video/image/metro/C788
C794,TRUE,45.251681,-93.683666,I-94: WB E of MnRoad,in Albertville,https://video.dot.state.mn.us/video/image/metro/C794
C795,TRUE,45.24085,-93.662403,I-94: EB @ Co Rd 19,in Albertville,https://video.dot.state.mn.us/video/image/metro/C795
C796,TRUE,45.238172,-93.64948,I-94: EB @ Co Rd 37,in Albertville,https://video.dot.state.mn.us/video/image/metro/C796
C799,TRUE,45.217999,-93.596006,I-94: WB @ MN 241,near Rogers,https://video.dot.state.mn.us/video/image/metro/C799
C801,TRUE,45.20405,-93.573154,I-94: EB W of MN 101,in Rogers,https://video.dot.state.mn.us/video/image/metro/C801
C802,TRUE,45.194583,-93.552075,I-94: WB @ MN 101,in Rogers,https://video.dot.state.mn.us/video/image/metro/C802
C803,TRUE,45.184746,-93.538427,I-94: EB E of MN 101,in Rogers,https://video.dot.state.mn.us/video/image/metro/C803
C804,TRUE,45.174317,-93.527225,I-94: WB W Junction of Co Rd 81,near Rogers,https://video.dot.state.mn.us/video/image/metro/C804
C805,TRUE,45.161475,-93.5185,I-94: EB @ Brockton Lane,near Dayton,https://video.dot.state.mn.us/video/image/metro/C805
C806,TRUE,45.149858,-93.501915,I-94: WB W of 101st Avenue,near Dayton,https://video.dot.state.mn.us/video/image/metro/C806
C807,TRUE,45.138091,-93.494681,I-94: EB @ 101st Avenue,near Maple Grove,https://video.dot.state.mn.us/video/image/metro/C807
C808,TRUE,45.12482,-93.484128,I-94: WB @ 95th Avenue,in Maple Grove,https://video.dot.state.mn.us/video/image/metro/C808
C809,TRUE,45.111354,-93.471568,I-94: EB @ Elm Creek,in Maple Grove,https://video.dot.state.mn.us/video/image/metro/C809
C810,TRUE,45.104745,-93.460519,I-94: WB @ Weaver Lake Rd,in Maple Grove,https://video.dot.state.mn.us/video/image/metro/C810
C811,TRUE,45.091868,-93.446575,I-94: EB @ I-494,in Maple Grove,https://video.dot.state.mn.us/video/image/metro/C811
C812,TRUE,45.089612,-93.432052,I-94: WB @ Hemlock Lane,near Maple Grove,https://video.dot.state.mn.us/video/image/metro/C812
C813,TRUE,45.082884,-93.401934,I-94: EB @ US 169,near Osseo,https://video.dot.state.mn.us/video/image/metro/C813
C814,TRUE,45.079794,-93.392319,I-94: EB @ Boone Avenue,near Osseo,https://video.dot.state.mn.us/video/image/metro/C814
C815,TRUE,45.077952,-93.372704,I-94: EB @ Co Rd 81,near Brooklyn Park,https://video.dot.state.mn.us/video/image/metro/C815
C816,TRUE,45.076186,-93.355781,I-94: EB @ Zane Avenue,near Brooklyn Center,https://video.dot.state.mn.us/video/image/metro/C816
C817,TRUE,45.075786,-93.332279,I-94: WB @ Brooklyn Boulevard,in Brooklyn Center,https://video.dot.state.mn.us/video/image/metro/C817
C818,TRUE,45.07404,-93.3186,I-94: WB @ Xerxes Avenue,in Brooklyn Center,https://video.dot.state.mn.us/video/image/metro/C818
C819,TRUE,45.068856,-93.298833,I-94: EB @ Humboldt Avenue,in Brooklyn Center,https://video.dot.state.mn.us/video/image/metro/C819
C820,TRUE,45.05819,-93.287419,I-94: EB @ 57th Avenue,in Brooklyn Center,https://video.dot.state.mn.us/video/image/metro/C820
C821,TRUE,45.044019,-93.284752,I-94: EB @ 49th Avenue,in Columbia Heights,https://video.dot.state.mn.us/video/image/metro/C821
C822,TRUE,45.03141,-93.287576,I-94: EB @ 42nd Avenue,near Robbinsdale,https://video.dot.state.mn.us/video/image/metro/C822
C823,TRUE,45.012971,-93.282736,I-94: WB @ Lowry Avenue,near Robbinsdale,https://video.dot.state.mn.us/video/image/metro/C823
C824,TRUE,44.998657,-93.283029,I-94: WB @ Broadway Avenue,near Robbinsdale,https://video.dot.state.mn.us/video/image/metro/C824
C825,TRUE,44.988377,-93.288704,I-94: SB @ 7th Street,near Minneapolis,https://video.dot.state.mn.us/video/image/metro/C825
C832,TRUE,44.964379,-93.2853,I-94: EB @ Hennepin and Lyndale,in Minneapolis,https://video.dot.state.mn.us/video/image/metro/C832
C833,TRUE,44.966232,-93.277538,I-94: EB @ Nicollet Ave,in Minneapolis,https://video.dot.state.mn.us/video/image/metro/C833
C834,TRUE,44.96597,-93.270185,I-94: WB @ MN 65,in Minneapolis,https://video.dot.state.mn.us/video/image/metro/C834
C835,TRUE,44.965644,-93.268747,I-94: WB @ Portland Ave,in Minneapolis,https://video.dot.state.mn.us/video/image/metro/C835
C836,TRUE,44.964563,-93.244077,I-94: EB @ Cedar Ave,in Minneapolis,https://video.dot.state.mn.us/video/image/metro/C836
C837,TRUE,44.964235,-93.23331,I-94: EB @ Riverside Ave,in Minneapolis,https://video.dot.state.mn.us/video/image/metro/C837
C8361,TRUE,44.964235,-93.23331,I-94: EB @ Riverside Ave,in Minneapolis,https://video.dot.state.mn.us/video/image/metro/C8361
C838,TRUE,44.96708,-93.221521,I-94: WB @ Huron Boulevard,near Lauderdale,https://video.dot.state.mn.us/video/image/metro/C838
C8381,TRUE,44.96708,-93.221521,I-94: WB @ Huron Boulevard,near Lauderdale,https://video.dot.state.mn.us/video/image/metro/C8381
C839,TRUE,44.964504,-93.215889,I-94: EB @ Franklin Ave,near Lauderdale,https://video.dot.state.mn.us/video/image/metro/C839
C840,TRUE,44.95981,-93.208747,I-94: EB W @ MN 280,near Lauderdale,https://video.dot.state.mn.us/video/image/metro/C840
